INFO:12:34:50 Selected port: COM1 - MOXA USB Serial Port (COM1)
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 288, 'Temperature': 352.4}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 837, 'Temperature': 352.4}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 822, 'Temperature': 352.4}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 818, 'Temperature': 303.3}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 825, 'Temperature': 303.3}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 827, 'Temperature': 303.3}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 670, 'Temperature': 303.3}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 654, 'Temperature': 303.3}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 569, 'Temperature': 291.0}
INFO:12:36:01 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 649, 'Temperature': 291.0}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 448, 'Temperature': 291.0}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 604, 'Temperature': 291.0}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 518, 'Temperature': 291.0}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 553, 'Temperature': 369.4}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 647, 'Temperature': 369.4}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 877, 'Temperature': 369.4}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 1249, 'Temperature': 369.4}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 763, 'Temperature': 296.5}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 772, 'Temperature': 296.5}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 807, 'Temperature': 296.5}
INFO:12:36:02 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 793, 'Temperature': 296.5}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 790, 'Temperature': 296.5}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 788, 'Temperature': 209.5}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 782, 'Temperature': 209.5}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 500, 'Temperature': 209.5}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 479, 'Temperature': 209.5}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 415, 'Temperature': 247.7}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 105, 'Temperature': 247.7}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 209, 'Temperature': 247.7}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 379, 'Temperature': 247.7}
INFO:12:36:03 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 472, 'Temperature': 247.7}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 466, 'Temperature': 518.3}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 450, 'Temperature': 518.3}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 474, 'Temperature': 518.3}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 1490, 'Temperature': 518.3}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 1490, 'Temperature': 518.3}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 948, 'Temperature': 317.4}
INFO:12:36:04 {'Address': 22, 'Serial Number': 926, 'SW Version': '0.2a', 'Article Number': 4314083, 'Description': 'DT3009-S1,4-M20_OSS_LF', 'Measuring Unit': 'μm', 'Measuring Range': 1400.0, 'Measuring Offset': 100.0, 'Distance': 1238, 'Temperature': 317.4}
